Sylvester Turner,"Houston, TX",http://www.houstontx.gov,http://www.houstontx.gov/mayor/bio.html,,
Ron Nirenberg,"San Antonio, TX",http://www.sanantonio.gov,http://www.sanantonio.gov/mayor,ron_nirenberg,
Eric Johnson,"Dallas, TX",http://www.dallascityhall.com,http://dallascityhall.com/government/citymayor/Pages/Biography.aspx,mayorofdallas,dallasmayor
Steve Adler,"Austin, TX",http://www.austintexas.gov,http://www.mayoradler.com/about-us-2/about-mayor-adler/,,MayorAdler
Betsy Price,"Fort Worth, TX",http://www.fortworthtexas.gov,http://fortworthtexas.gov/mayor/bio/,,cityoffortworth
Dee Margo,"El Paso, TX",http://www.elpasotexas.gov,https://www.elpasotexas.gov/mayor,iam_elpaso,elpasotxgov
Jeff Williams,"Arlington, TX",http://www.arlingtontx.gov,https://www.arlingtontx.gov/city_hall/government/city_council/members/mayor_jeff_williams,,
Joe McComb,"Corpus Christi, TX",http://www.cctexas.com,https://ballotpedia.org/Joe_McComb,,home?status=https%3A%2F%2Fballotpedia.org%2FJoe_McComb
Harry LaRosiliere,"Plano, TX",http://www.plano.gov,http://www.plano.gov/1787/Mayor-LaRosiliere,,
Pete Saenz,"Laredo, TX",http://www.cityoflaredo.com,http://www.cityoflaredo.com/mayor-council/N_MCmSites/Mayor/index.html,,
Dan Pope,"Lubbock, TX",http://www.ci.lubbock.tx.us,,error,error
Lori Barnett Dodson,"Garland, TX",http://www.garlandtx.gov,,error,error
Rick Stopfer,"Irving, TX",http://www.cityofirving.org,https://ballotpedia.org/Rick_Stopfer,,home?status=https%3A%2F%2Fballotpedia.org%2FRick_Stopfer
Ginger Nelson,"Amarillo, TX",http://amarillo.gov,,error,error
Ron Jensen,"Grand Prairie, TX",http://www.gptx.org,http://www.gptx.org/index.aspx?page=323,cityofgptx,gp_tx
George Fuller,"McKinney, TX",http://www.mckinneytexas.org,https://www.mckinneytexas.org/1167/Council-Members,error,error
Jeff Cheney,"Frisco, TX",http://www.friscotexas.gov,http://www.friscotexas.gov/586/Jeff-Cheney,cityoffriscotx,CityOfFriscoTx
Trey Mendez,"Brownsville, TX",http://www.cob.us,https://votetrey.com/,,
Jeff A. Wagner,"Pasadena, TX",http://www.ci.pasadena.tx.us,https://www.pasadenatx.gov/578/Mayor-Jeff-Wagner,pasadenatxgov,pasadenatxgov
Jose L. Segarra,"Killeen, TX",http://www.ci.killeen.tx.us,https://killenmayor.business.site/,,
James E. Darling,"McAllen, TX",http://www.mcallen.net,https://tcaptx.com/staff/jim-darling,,tcaptx
Bruce Archer,"Mesquite, TX",http://www.cityofmesquite.com,https://www.cityofmesquite.com/3158/Mayor,,cityofmesquite
Patrick Payton,"Midland, TX",http://www.midlandtexas.gov,,error,error
Chris Watts,"Denton, TX",http://www.cityofdenton.com,http://www.cityofdenton.com/government/city-council/mayor-chris-watts,,cityofdentontx?lang=en
Kyle Deaver,"Waco, TX",http://www.waco-texas.com,http://www.waco-texas.com/mayor.asp,,cityofwaco
Kevin Falconer,"Carrollton, TX",http://www.cityofcarrollton.com,http://www.cityofcarrollton.com/government/city-manager-s-office/city-secretary/city-council/council-bios/mayor-kevin-falconer,error,error
Craig Morgan,"Round Rock, TX",http://www.roundrocktexas.gov,https://www.roundrocktexas.gov/about/city-council/city-council-members/,roundrocktexas,roundrock
Anthony Williams,"Abilene, TX",http://www.abilenetx.com,https://www.abilenetx.gov/538/Anthony-Williams,error,error
Tom Reid,"Pearland, TX",http://www.pearlandtx.gov,,error,error
Paul Voelker,"Richardson, TX",http://www.cor.net,http://www.cor.net/index.aspx?page=1819,error,error
David Turner,"Odessa, TX",http://www.odessa-tx.gov,https://www.odessa-tx.gov/government/city-council/mayor,,CityofOdessa
Joe R. Zimmerman,"Sugar Land, TX",http://www.sugarlandtx.gov,http://www.sugarlandtx.gov/index.aspx?NID=172,error,error
Becky Ames,"Beaumont, TX",http://beaumonttexas.gov,https://beaumonttexas.gov/city-council/mayor-becky-ames/,cityofbmt,cityofbmt
Karl Mooney,"College Station, TX",http://www.cstx.gov,https://www.cstx.gov/departments___city_hall/council,,cityofcs
Rudy Durham,"Lewisville, TX",http://www.cityoflewisville.com,http://www.cityoflewisville.com/index.aspx?page=53,error,error
Pat Hallisey,"League City, TX",http://www.leaguecity.com,http://www.leaguecity.com/Index.aspx?NID=768,,
Martin Heines,"Tyler, TX",http://www.cityoftyler.org,http://www.cityoftyler.org/Government/MayorandCouncil/Mayor.aspx,error,error
Stephen L. Santellana,"Wichita Falls, TX",http://www.cwftx.net,http://www.wichitafallstx.gov/946/Mayor-Stephen-Satellana,,
Debbie Stout,"Allen, TX",http://www.cityofallen.org,https://www.cityofallen.org/1299/Debbie-Stout,,
Brenda Gunter,"San Angelo, TX",http://www.sanangelotexas.org,,error,error
Richard Molina,"Edinburg, TX",http://www.cityofedinburg.com,http://www.cityofedinburg.com/meet.php,error,error
Toby Powell,"Conroe, TX",http://www.cityofconroe.org,,error,error
Andrew Nelson,"Bryan, TX",http://www.bryantx.gov/,http://www.bryantx.gov/mayor-and-city-council/,cityofbryan,CityofBryan
Armando Ocana,"Mission, TX",http://www.missiontexas.us,http://missiontexas.us/elected-officials/city-mayor/,,CityOfMissionTX
Barron Casteel,"New Braunfels, TX",http://www.nbtexas.org,,error,error
Andy Mack,"Longview, TX",http://www.ci.longview.tx.us,https://www.longviewtexas.gov/2202/Mayor,cityoflongview,cityoflongview
Ambrosio 'Amos' Hernandez,"Pharr, TX",http://www.pharr-tx.gov,https://rgvweightloss.com/team-member/dr-ambrosio-hernandez/,dhrhealth,dhrhealth
Steve Dixon,"Flower Mound, TX",http://www.flower-mound.com,,error,error
Brandon Capetillo,"Baytown, TX",http://www.baytown.org,https://www.baytown.org/city-hall/city-council/meet-the-mayor,error,error
Corbin Van Arsdale,"Cedar Park, TX",http://www.cedarparktexas.gov,http://www.cedarparktexas.gov/government/mayor-and-city-council/mayor-and-city-council-members/mayor-matt-powell,error,error
William A. Jones III,"Temple, TX",http://www.ci.temple.tx.us,,error,error
Yolanda Ford,"Missouri City, TX",http://www.missouricitytx.gov,http://www.missouricitytx.gov/370/Mayor,error,error
Dale Ross,"Georgetown, TX",https://georgetown.org,https://government.georgetown.org/city-council/mayor/,,georgetowntx
David L. Cook,"Mansfield, TX",http://www.mansfield-tx.gov,http://www.mansfield-tx.gov/departments/council/members/mayor.php,error,error
Oscar Trevino,"North Richland Hills, TX",https://www.nrhtx.com,https://www.nrhtx.com/360/Mayor,error,error
Rawley McCoy,"Victoria, TX",http://www.victoriatx.org,,error,error
Tammy Dana-Bashian,"Rowlett, TX",http://www.rowlett.com,http://www.rowlett.com/directory.aspx?EID=396,cityofrowletttexas,RowlettMayorTDB
Chris Boswell,"Harlingen, TX",http://www.myharlingen.us,http://www.myharlingen.us/default.aspx?name=admin.mayor_commission,,myharlingen
Victor Gonzales,"Pflugerville, TX",http://cityofpflugerville.com/,,error,error
Jane Hughson,"San Marcos, TX",http://www.sanmarcostx.gov,http://www.sanmarcostx.gov/386/Mayor-Jane-Hughson,error,error
Linda Lipp Martin,"Euless, TX",http://www.ci.euless.tx.us,http://www.euless.org/cityhall/mayor.htm,error,error
Troy Hill,"Leander, TX",http://www.leandertx.gov,,error,error
Thurman 'Bill' Bartie,"Port Arthur, TX",http://www.portarthur.net,,error,error
William 'Bill' D. Tate,"Grapevine, TX",http://www.ci.grapevine.tx.us,http://www.ci.grapevine.tx.us/index.aspx?nid=93,grapevinetx,GrapevineTXCity
Curtistene Smith McCowan,"DeSoto, TX",http://www.desototexas.gov,http://www.ci.desoto.tx.us/61/Place-One,,desototx
Eric Hogue,"Wylie, TX",http://www.ci.wylie.tx.us,,error,error
Craig Brown,"Galveston, TX",http://www.cityofgalveston.org,https://www.galvestontx.gov/517/District-2-Craig-Brown,cityofgalvestontx,@CityofGalveston
David Hillock,"Little Elm, TX",http://www.littleelm.org,http://www.littleelm.org/index.aspx?NID=875,error,error
Jim Griffin,"Bedford, TX",http://www.ci.bedford.tx.us,,error,error
Matthew 'Matt' T. Doyle,"Texas City, TX",http://www.texas-city-tx.org,http://www.texas-city-tx.org/page/commissioners.mayor,error,error
Stephen Mason,"Cedar Hill, TX",http://www.cedarhilltx.com,http://cedarhilltx.com/2518/Mayor-Stephen-Mason,error,error
Pat McGrail,"Keller, TX",http://cityofkeller.com,,error,error
Ken Shetter,"Burleson, TX",http://www.burlesontx.com,http://www.burlesontx.com/index.aspx?nid=129,error,error
Travis Mitchell,"Kyle, TX",http://www.cityofkyle.com,,error,error
Jim Pruitt,"Rockwall, TX",http://rockwall.com,http://www.rockwall.com/documents/MayorCouncil/JimPruitt.pdf,,
An Truong,"Haltom City, TX",http://www.haltomcitytx.com,,error,error
Joe McCourry,"The Colony, TX",http://www.ci.the-colony.tx.us,,error,error
David Plyler,"Sherman, TX",http://www.cityofsherman.org,,error,error
Karen Hunt,"Coppell, TX",http://www.coppelltx.gov,http://www.coppelltx.gov/Pages/Council-Mayor.aspx,cityofcoppelltx,cityofcoppell
Andy Brauninger,"Huntsville, TX",http://www.huntsvilletx.gov,http://www.huntsvilletx.gov/Directory.aspx?EID=158,cityofhuntsville,huntsvilletexas?lang=en
David Suarez,"Weslaco, TX",http://www.weslacotx.gov,,error,error
Ralph Gutierrez,"Schertz, TX",http://schertz.com,http://schertz.com/236/Mayor,cityofschertz,
Robert C. Dye,"Farmers Branch, TX",http://www.farmersbranch.info,https://www.farmersbranchtx.gov/DocumentCenter/View/6981/Mayor-Dye-bio?bidId=,,
Mike Foreman,"Friendswood, TX",http://www.ci.friendswood.tx.us,http://www.ci.friendswood.tx.us/Biographies/,error,error
Clyde Hairston,"Lancaster, TX",http://www.lancaster-tx.com,,error,error
Barry L. Gordon,"Duncanville, TX",http://www.duncanville.com,http://www.duncanville.com/government/city-council/barry-gordon/,error,error
Henry Wilson,"Hurst, TX",http://www.hursttx.gov,,error,error
William 'Bill' T. Benton,"Rosenberg, TX",http://www.ci.rosenberg.tx.us,http://rosenbergtx.gov/city-government/mayor-city-council/,error,error
Bob Bruggeman,"Texarkana, TX",http://www.ci.texarkana.tx.us,http://www.ci.texarkana.tx.us/302/Bob-Bruggeman-Mayor,error,error
Mario Garza,"San Juan, TX",http://www.cityofsanjuantexas.com,,error,error
Kevin Strength,"Waxahachie, TX",http://www.waxahachie.com,,error,error
Bruno 'Ralphy' Lozano,"Del Rio, TX",http://www.cityofdelrio.com,http://www.cityofdelrio.com/445/Mayor,error,error
Bob Brown,"Lufkin, TX",http://www.ci.lufkin.tx.us,http://cityoflufkin.com/council/mayor.htm,,
Louis Rigby,"La Porte, TX",http://www.ci.la-porte.tx.us,,error,error
Elia Garcia,"Socorro, TX",http://www.ci.socorro.tx.us,,error,error
Jerry Mouton Jr.,"Deer Park, TX",http://www.deerparktx.gov,http://www.deerparktx.gov/Index.aspx?NID=1023,deerparktxgov,deerparktxgov?lang=en 
Shelley Brophy,"Nacogdoches, TX",http://www.ci.nacogdoches.tx.us,,error,error
Bradi Diaz,"Copperas Cove, TX",http://www.copperascovetx.gov,,error,error
Scott Cain,"Cleburne, TX",https://www.cleburne.net,https://www.cleburne.net/239/Scott-Cain,cityofcleburne,CityofCleburne
"Stan ""Stosh"" Boyle","Cibolo, TX",https://www.cibolotx.gov/,,error,error
Ramsey English Cantu,"Eagle Pass, TX",http://www.eaglepasstx.us,https://www.portstoplains.com/index.php/our-alliance/our-board/57-personnel/board-members/457-ramsey-english-cantu,,
Doug Gaul,"Hutto, TX",http://www.huttotx.gov,http://www.huttotx.gov/government/city_council/mayor_doug_gaul.php,,home?status=http:
Sergio Coronado,"Hidalgo, TX",http://www.cityofhidalgo.net,http://cityofhidalgo.net/mayors-message/,,
Frank Moreno Junior,"Crystal City, TX",http://www.cityofcc.org,,error,error
